City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,banda aceh,5.5577,95.3222,27.92,71,43,6.79,ID,1736478879
158,margate,51.3813,1.3862,-0.73,87,8,4.11,GB,1736478880
159,bay roberts,47.5999,-53.2648,0.59,94,100,1.79,CA,1736478882
160,takaungu,-3.6837,39.8566,26.32,77,100,2.46,KE,1736478883
161,pierre,44.3683,-100.351,-1.49,80,0,10.8,US,1736478884
162,nogliki,51.8333,143.1667,-13.19,76,53,4.77,RU,1736478885
163,greymouth,-42.4667,171.2,19.24,66,74,3.69,NZ,1736478886
164,udachny,66.4167,112.4,-22.72,100,100,1.38,RU,1736478887
165,davangere,14.4667,75.9167,19.74,71,100,5.19,IN,1736478889
166,saudarkrokur,65.7461,-19.6394,-6.79,85,99,6.34,IS,1736478891
167,petropavlovsk-kamchatsky,53.0452,158.6483,-9.67,45,0,2.0,RU,1736478892
168,susanville,40.4163,-120.653,-0.09,82,0,1.54,US,1736478893
169,dexter,36.7959,-89.9579,-0.15,60,100,1.84,US,1736478894
170,churapcha,62.0025,132.4325,-27.56,93,100,1.01,RU,1736478895
171,aioun,16.6614,-9.6149,17.9,18,0,5.37,MR,1736478896
172,vuktyl,63.8567,57.3094,-9.91,89,99,5.52,RU,1736478897
173,bodaybo,57.8506,114.1933,-27.96,96,23,0.16,RU,1736478898
174,kasama,-10.2129,31.1808,16.85,96,100,1.67,ZM,1736478899
175,gyeongju,35.8428,129.2117,-2.28,32,0,4.46,KR,1736478901
176,mahanoro,-19.9,48.8,25.18,85,41,1.08,MG,1736478902
177,remire-montjoly,4.9167,-52.2667,24.02,100,75,0.51,GF,1736478903
178,sidney,-33.8679,151.2073,25.2,75,75,5.66,AU,1736478684
179,percut,3.6253,98.864,27.12,75,100,2.86,ID,1736478905
180,inhambane,-23.865,35.3833,27.2,87,13,5.93,MZ,1736478906
181,sandnessjoen,66.0217,12.6316,-3.48,90,100,5.63,NO,1736478907
182,champerico,14.3,-91.9167,27.16,74,85,1.95,GT,1736478908
183,olonkinbyen,70.9221,-8.7187,-10.6,78,100,11.6,SJ,1736478910
184,garachico,28.7781,-17.7646,15.06,67,0,4.12,ES,1736478911
185,zag,46.9441,99.165,-23.8,85,42,1.31,MN,1736478912
186,virginia,37.5481,-77.4467,-2.94,65,0,2.06,US,1736478913
187,valparaiso,-33.0393,-71.6273,16.8,82,0,3.6,CL,1736478622
188,kailua-kona,19.6406,-155.9956,26.42,86,92,0.89,US,1736478915
189,kalevala,65.2,31.1667,-21.65,99,64,1.1,RU,1736478916
190,brookings,44.3114,-96.7984,-2.0,88,100,4.12,US,1736478745
191,lihue,21.9789,-159.3672,25.77,78,0,5.14,US,1736478919
192,dudinka,69.4058,86.1778,-32.59,100,78,2.01,RU,1736478751
193,tadjourah,12.0,42.5,19.45,76,0,4.0,DJ,1736478921
194,bengkulu,-3.8004,102.2655,27.8,73,100,1.32,ID,1736478922
195,contramaestre,20.2978,-76.2414,17.46,87,83,0.54,CU,1736478923
196,charleston,32.7766,-79.9309,0.57,67,0,2.06,US,1736478900
197,klyuchi,52.2667,79.1667,-6.25,85,100,6.55,RU,1736478925
198,sisimiut,66.9395,-53.6735,-14.54,71,1,5.48,GL,1736478926
199,hilo,19.7297,-155.09,24.49,91,0,2.57,US,1736478927
200,nemuro,43.3236,145.575,0.22,73,97,6.33,JP,1736478929
201,kenai,60.5544,-151.2583,1.19,99,100,1.54,US,1736478930
202,st. john's,47.5649,-52.7093,0.54,87,84,1.79,CA,1736478764
203,labrador city,52.9463,-66.9114,-4.05,81,100,10.28,CA,1736478932
204,iskateley,67.6803,53.1512,-9.95,95,100,4.44,RU,1736478933
205,pitimbu,-7.4706,-34.8086,26.37,84,62,4.01,BR,1736478934
206,arraial do cabo,-22.9661,-42.0278,24.25,81,61,4.55,BR,1736478935
207,norrtalje,59.758,18.705,-1.66,98,100,1.46,SE,1736478811
208,chemin grenier,-20.4872,57.4656,26.77,81,52,7.09,MU,1736478938
209,daru,-9.0763,143.2092,27.68,81,100,1.97,PG,1736478939
210,itaituba,-4.2761,-55.9836,23.63,99,100,0.54,BR,1736478694
211,kyshtovka,56.555,76.6271,-3.82,88,100,7.67,RU,1736478941
212,yatou,37.15,122.3833,-0.73,62,61,6.35,CN,1736478942
213,napili-honokowai,20.9708,-156.6705,26.64,89,86,5.99,US,1736478943
214,khandyga,62.6667,135.6,-31.72,90,100,1.27,RU,1736478944
215,qarauyl,48.9451,79.255,-10.8,68,95,3.01,KZ,1736478945
216,rawson,-43.3002,-65.1023,14.72,56,91,7.77,AR,1736478942
217,boca suno,-0.7167,-77.1333,22.58,93,100,1.12,EC,1736478948
218,hastings,50.8552,0.5729,0.1,65,22,2.03,GB,1736478709
219,keflavik,64.0049,-22.5624,0.24,80,40,4.63,IS,1736478950
220,sao jose da coroa grande,-8.8978,-35.1478,26.2,85,69,5.12,BR,1736478951
221,masterton,-40.9597,175.6575,19.98,36,1,3.71,NZ,1736478810
222,trincomalee,8.5711,81.2335,25.87,85,34,5.32,LK,1736478953
223,west island,-12.1568,96.8225,28.99,84,75,5.66,CC,1736478954
224,qalat,32.1058,66.9083,2.46,43,100,4.99,AF,1736478955
225,kapuskasing,49.4169,-82.4331,-11.51,90,68,2.82,CA,1736478662
226,bardai,11.65,7.2333,13.31,24,0,4.62,NG,1736478958
227,utrik,11.2278,169.8474,26.8,78,8,9.38,MH,1736478959
228,eyl,7.9803,49.8164,21.91,76,15,5.7,SO,1736478961
229,aasiaat,68.7098,-52.8699,-22.95,100,85,2.27,GL,1736478962
230,kerikeri,-35.2268,173.9474,21.62,82,97,2.24,NZ,1736478963
231,sovetskaya gavan',48.9723,140.2878,-5.93,74,78,3.39,RU,1736478964
232,ambon,-3.6954,128.1814,32.08,100,40,1.03,ID,1736478965
233,zhongxing,33.7039,118.6792,0.22,18,0,2.26,CN,1736478855
234,celestun,20.8667,-90.4,20.7,71,2,4.75,MX,1736478968
235,oranjemund,-28.55,16.4333,16.58,93,0,2.24,NA,1736478969
236,geraldton,-28.7667,114.6,24.23,64,20,6.17,AU,1736478970
237,takoradi,4.8845,-1.7554,26.12,82,81,2.15,GH,1736478948
238,broome,42.2506,-75.833,-5.72,77,100,8.23,US,1736478972
239,susuman,62.7833,148.1667,-24.28,98,100,0.3,RU,1736478973
240,arawa,-6.2132,155.5367,30.91,70,72,3.3,PG,1736478969
241,praia da vitoria,38.7333,-27.0667,19.14,94,75,6.61,PT,1736478975
242,taltal,-25.4,-70.4833,19.8,83,6,1.14,CL,1736478977
243,dakoro,14.5106,6.765,12.93,27,0,5.37,NE,1736478978
244,tazovsky,67.4667,78.7,-19.51,95,100,7.83,RU,1736478979
245,gulf shores,30.246,-87.7008,8.33,66,95,7.06,US,1736478980
246,dubbo,-32.25,148.6167,29.07,45,20,3.6,AU,1736478981
247,pacific grove,36.6177,-121.9166,14.1,71,0,3.58,US,1736478974
248,pangody,65.85,74.4859,-13.88,89,100,12.37,RU,1736478983
249,yeppoon,-23.1333,150.7333,28.31,64,44,6.44,AU,1736478984
250,east london,-33.0153,27.9116,20.95,80,46,6.1,ZA,1736478936
251,flin flon,54.7682,-101.865,-20.09,92,88,3.16,CA,1736478987
252,taoudenni,22.6783,-3.9836,13.81,22,3,5.02,ML,1736478988
253,port elizabeth,-33.918,25.5701,20.73,89,0,3.6,ZA,1736478989
254,merizo village,13.2658,144.6691,29.99,83,84,6.95,GU,1736478990
255,christchurch,-43.5333,172.6333,20.18,59,76,3.6,NZ,1736478991
256,nevel'sk,46.6733,141.8633,-2.32,76,100,7.89,RU,1736478992
257,idrinskoye,54.3708,92.1358,-14.17,98,100,0.92,RU,1736478993
258,kayangel,8.0823,134.7173,28.7,75,39,7.88,PW,1736478994
259,tralee,52.2704,-9.7026,1.28,96,100,4.74,IE,1736478995
260,port lincoln,-34.7333,135.8667,22.81,52,12,4.08,AU,1736478997
261,letlhakeng,-24.0944,25.0298,20.78,86,93,3.06,BW,1736478998
262,haiku-pauwela,20.9219,-156.3051,26.01,74,0,7.15,US,1736478999
263,alibag,18.6411,72.8792,22.81,42,100,1.88,IN,1736478956
264,vorgashor,67.5833,63.95,-13.56,96,100,3.69,RU,1736479001
265,changyon,38.2508,125.0961,-3.36,50,94,7.26,KP,1736479003
266,isafjordur,66.0755,-23.124,-2.11,82,50,5.29,IS,1736479004
267,palikir - national government center,6.9248,158.1611,31.47,66,75,6.17,FM,1736479007
